outcome,domain,subgroup,year,aamr
Colorectal Cancer,Sex,Both,1999,32.06
Colorectal Cancer,Sex,Both,2000,31.188
Colorectal Cancer,Sex,Both,2001,30.339
Colorectal Cancer,Sex,Both,2002,29.514
Colorectal Cancer,Sex,Both,2003,28.711
Colorectal Cancer,Sex,Both,2004,27.93
Colorectal Cancer,Sex,Both,2005,27.17
Colorectal Cancer,Sex,Both,2006,26.431
Colorectal Cancer,Sex,Both,2007,25.712
Colorectal Cancer,Sex,Both,2008,25.012
Colorectal Cancer,Sex,Both,2009,24.332
Colorectal Cancer,Sex,Both,2010,23.67
Colorectal Cancer,Sex,Both,2011,23.026
Colorectal Cancer,Sex,Both,2012,22.399
Colorectal Cancer,Sex,Both,2013,22.01
Colorectal Cancer,Sex,Both,2014,21.627
Colorectal Cancer,Sex,Both,2015,21.25
Colorectal Cancer,Sex,Both,2016,20.88
Colorectal Cancer,Sex,Both,2017,20.517
Colorectal Cancer,Sex,Both,2018,20.16
Colorectal Cancer,Sex,Both,2019,19.809
Colorectal Cancer,Sex,Both,2020,19.464
Colorectal Cancer,Sex,Both,2021,19.5
Colorectal Cancer,Sex,Both,2022,19.535
Colorectal Cancer,Sex,Both,2023,19.57
Liver Metastasis,Sex,Both,1999,3.32
Liver Metastasis,Sex,Both,2000,3.058
Liver Metastasis,Sex,Both,2001,2.817
Liver Metastasis,Sex,Both,2002,2.595
Liver Metastasis,Sex,Both,2003,2.39
Liver Metastasis,Sex,Both,2004,2.201
Liver Metastasis,Sex,Both,2005,2.028
Liver Metastasis,Sex,Both,2006,1.868
Liver Metastasis,Sex,Both,2007,1.72
Liver Metastasis,Sex,Both,2008,1.585
Liver Metastasis,Sex,Both,2009,1.581
Liver Metastasis,Sex,Both,2010,1.578
Liver Metastasis,Sex,Both,2011,1.575
Liver Metastasis,Sex,Both,2012,1.571
Liver Metastasis,Sex,Both,2013,1.568
Liver Metastasis,Sex,Both,2014,1.714
Liver Metastasis,Sex,Both,2015,1.874
Liver Metastasis,Sex,Both,2016,2.048
Liver Metastasis,Sex,Both,2017,2.107
Liver Metastasis,Sex,Both,2018,2.168
Liver Metastasis,Sex,Both,2019,2.231
Liver Metastasis,Sex,Both,2020,2.295
Liver Metastasis,Sex,Both,2021,2.362
Liver Metastasis,Sex,Both,2022,2.43
Liver Metastasis,Sex,Both,2023,2.5
Lung Metastasis,Sex,Both,1999,1.38
Lung Metastasis,Sex,Both,2000,1.327
Lung Metastasis,Sex,Both,2001,1.277
Lung Metastasis,Sex,Both,2002,1.228
