outcome,subgroup,year,point_forecast,lower_95_ci,upper_95_ci
Liver Metastasis,Both,2024,2.5695,2.481,2.6581
Liver Metastasis,Both,2025,2.6367,2.4464,2.827
Liver Metastasis,Both,2026,2.6999,2.3938,3.006
Liver Metastasis,Both,2027,2.7576,2.3283,3.1869
Liver Metastasis,Both,2028,2.8085,2.2541,3.363
Liver Metastasis,Both,2029,2.8517,2.1744,3.5289
Liver Metastasis,Both,2030,2.8862,2.0923,3.6802
Liver Metastasis,Both,2031,2.9118,2.01,3.8135
Liver Metastasis,Both,2032,2.928,1.9297,3.9264
Liver Metastasis,Both,2033,2.9351,1.8528,4.0173
Liver Metastasis,Both,2034,2.9332,1.7806,4.0858
Liver Metastasis,Both,2035,2.9229,1.7137,4.132
Liver Metastasis,Both,2036,2.9048,1.6523,4.1573
Liver Metastasis,Both,2037,2.8799,1.5964,4.1634
Liver Metastasis,Both,2038,2.8492,1.5453,4.153
Liver Metastasis,Both,2039,2.8138,1.4982,4.1293
Liver Metastasis,Both,2040,2.7748,1.454,4.0957
Liver Metastasis,Female,2024,2.0001,1.9215,2.0787
Liver Metastasis,Female,2025,2.0498,1.8812,2.2184
Liver Metastasis,Female,2026,2.0979,1.8275,2.3683
Liver Metastasis,Female,2027,2.1432,1.7652,2.5212
Liver Metastasis,Female,2028,2.1846,1.6979,2.6714
Liver Metastasis,Female,2029,2.2214,1.6286,2.8141
Liver Metastasis,Female,2030,2.2527,1.5597,2.9458
Liver Metastasis,Female,2031,2.2782,1.493,3.0634
Liver Metastasis,Female,2032,2.2975,1.4301,3.1648
Liver Metastasis,Female,2033,2.3104,1.372,3.2489
Liver Metastasis,Female,2034,2.3171,1.3192,3.3149
Liver Metastasis,Female,2035,2.3177,1.2721,3.3632
Liver Metastasis,Female,2036,2.3126,1.2305,3.3946
Liver Metastasis,Female,2037,2.3023,1.1939,3.4106
Liver Metastasis,Female,2038,2.2873,1.1616,3.413
Liver Metastasis,Female,2039,2.2685,1.1326,3.4043
Liver Metastasis,Female,2040,2.2464,1.1057,3.3871
Liver Metastasis,Male,2024,3.2408,3.059,3.4226
Liver Metastasis,Male,2025,3.2847,2.8381,3.7313
Liver Metastasis,Male,2026,3.2566,2.604,3.9091
Liver Metastasis,Male,2027,3.2604,2.4708,4.0499
Liver Metastasis,Male,2028,3.2501,2.3377,4.1624
Liver Metastasis,Male,2029,3.246,2.2285,4.2635
Liver Metastasis,Male,2030,3.2392,2.1258,4.3526
Liver Metastasis,Male,2031,3.2336,2.0326,4.4346
Liver Metastasis,Male,2032,3.2275,1.945,4.51
Liver Metastasis,Male,2033,3.2217,1.8629,4.5804
Liver Metastasis,Male,2034,3.2157,1.785,4.6465
Liver Metastasis,Male,2035,3.2098,1.7108,4.7088
Liver Metastasis,Male,2036,3.2039,1.6398,4.768
Liver Metastasis,Male,2037,3.198,1.5717,4.8244
Liver Metastasis,Male,2038,3.1922,1.5061,4.8782
Liver Metastasis,Male,2039,3.1863,1.4428,4.9298
Liver Metastasis,Male,2040,3.1804,1.3815,4.9794
Liver Metastasis,NH White,2024,2.6683,2.5754,2.7612
Liver Metastasis,NH White,2025,2.7499,2.5513,2.9485
Liver Metastasis,NH White,2026,2.8229,2.5045,3.1413
Liver Metastasis,NH White,2027,2.8857,2.4403,3.331
Liver Metastasis,NH White,2028,2.9371,2.3633,3.5109
Liver Metastasis,NH White,2029,2.9763,2.2771,3.6755
Liver Metastasis,NH White,2030,3.0028,2.185,3.8206
Liver Metastasis,NH White,2031,3.0167,2.0901,3.9432
Liver Metastasis,NH White,2032,3.0181,1.9948,4.0414
Liver Metastasis,NH White,2033,3.0078,1.9013,4.1144
Liver Metastasis,NH White,2034,2.9867,1.8111,4.1623
Liver Metastasis,NH White,2035,2.9558,1.7255,4.1862
Liver Metastasis,NH White,2036,2.9167,1.6453,4.1881
Liver Metastasis,NH White,2037,2.8708,1.5706,4.171
Liver Metastasis,NH White,2038,2.8197,1.5014,4.1381
Liver Metastasis,NH White,2039,2.7652,1.4371,4.0934
Liver Metastasis,NH White,2040,2.709,1.3769,4.0411
Liver Metastasis,NH Black,2024,3.1474,3.0486,3.2462
Liver Metastasis,NH Black,2025,3.2251,2.9955,3.4548
Liver Metastasis,NH Black,2026,3.3031,2.9052,3.7009
Liver Metastasis,NH Black,2027,3.381,2.7808,3.9813
Liver Metastasis,NH Black,2028,3.459,2.6239,4.2941
Liver Metastasis,NH Black,2029,3.5369,2.4397,4.6342
Liver Metastasis,NH Black,2030,3.6149,2.2313,4.9985
Liver Metastasis,NH Black,2031,3.6929,2.0008,5.385
Liver Metastasis,NH Black,2032,3.7708,1.7497,5.7919
Liver Metastasis,NH Black,2033,3.8488,1.4795,6.218
Liver Metastasis,NH Black,2034,3.9267,1.1911,6.6624
Liver Metastasis,NH Black,2035,4.0047,0.8854,7.124
Liver Metastasis,NH Black,2036,4.0827,0.5632,7.6021
Liver Metastasis,NH Black,2037,4.1606,0.2252,8.096
Liver Metastasis,NH Black,2038,4.2386,-0.1281,8.6053
Liver Metastasis,NH Black,2039,4.3165,-0.4962,9.1292
Liver Metastasis,NH Black,2040,4.3945,-0.8785,9.6675
Liver Metastasis,35-44 years,2024,0.6666,0.6564,0.6769
Liver Metastasis,35-44 years,2025,0.7137,0.6901,0.7372
Liver Metastasis,35-44 years,2026,0.7607,0.7198,0.8015
Liver Metastasis,35-44 years,2027,0.8077,0.7463,0.8691
Liver Metastasis,35-44 years,2028,0.8547,0.7702,0.9392
Liver Metastasis,35-44 years,2029,0.9017,0.7917,1.0118
Liver Metastasis,35-44 years,2030,0.9488,0.8111,1.0864
Liver Metastasis,35-44 years,2031,0.9958,0.8284,1.1631
Liver Metastasis,35-44 years,2032,1.0428,0.8439,1.2417
Liver Metastasis,35-44 years,2033,1.0898,0.8577,1.322
Liver Metastasis,35-44 years,2034,1.1369,0.8697,1.404
Liver Metastasis,35-44 years,2035,1.1839,0.8802,1.4876
Liver Metastasis,35-44 years,2036,1.2309,0.8891,1.5727
Liver Metastasis,35-44 years,2037,1.2779,0.8966,1.6593
Liver Metastasis,35-44 years,2038,1.3249,0.9026,1.7473
Liver Metastasis,35-44 years,2039,1.372,0.9073,1.8367
Liver Metastasis,35-44 years,2040,1.419,0.9106,1.9274
Liver Metastasis,45-54 years,2024,2.0861,2.0083,2.1639
Liver Metastasis,45-54 years,2025,2.1922,2.0169,2.3675
Liver Metastasis,45-54 years,2026,2.2983,2.0041,2.5926
Liver Metastasis,45-54 years,2027,2.4044,1.9729,2.8359
Liver Metastasis,45-54 years,2028,2.5105,1.9256,3.0954
Liver Metastasis,45-54 years,2029,2.6167,1.8637,3.3696
Liver Metastasis,45-54 years,2030,2.7228,1.7883,3.6572
Liver Metastasis,45-54 years,2031,2.8289,1.7004,3.9573
Liver Metastasis,45-54 years,2032,2.935,1.6007,4.2692
Liver Metastasis,45-54 years,2033,3.0411,1.4899,4.5923
Liver Metastasis,45-54 years,2034,3.1472,1.3685,4.9259
Liver Metastasis,45-54 years,2035,3.2533,1.237,5.2697
Liver Metastasis,45-54 years,2036,3.3594,1.0957,5.6231
Liver Metastasis,45-54 years,2037,3.4655,0.9451,5.9859
Liver Metastasis,45-54 years,2038,3.5716,0.7855,6.3578
Liver Metastasis,45-54 years,2039,3.6777,0.6172,6.7383
Liver Metastasis,45-54 years,2040,3.7839,0.4404,7.1273
Liver Metastasis,55-64 years,2024,3.8036,3.641,3.9662
Liver Metastasis,55-64 years,2025,3.8645,3.5231,4.206
Liver Metastasis,55-64 years,2026,3.8935,3.3588,4.4282
Liver Metastasis,55-64 years,2027,3.8925,3.1643,4.6207
Liver Metastasis,55-64 years,2028,3.8646,2.953,4.7762
Liver Metastasis,55-64 years,2029,3.8136,2.7363,4.8909
Liver Metastasis,55-64 years,2030,3.744,2.5238,4.9642
Liver Metastasis,55-64 years,2031,3.6606,2.3228,4.9984
Liver Metastasis,55-64 years,2032,3.5682,2.1389,4.9975
Liver Metastasis,55-64 years,2033,3.4716,1.9757,4.9675
Liver Metastasis,55-64 years,2034,3.3752,1.8348,4.9156
Liver Metastasis,55-64 years,2035,3.2831,1.7164,4.8498
Liver Metastasis,55-64 years,2036,3.1987,1.6192,4.7781
Liver Metastasis,55-64 years,2037,3.1246,1.541,4.7082
Liver Metastasis,55-64 years,2038,3.0631,1.4791,4.647
Liver Metastasis,55-64 years,2039,3.0153,1.4308,4.5998
Liver Metastasis,55-64 years,2040,2.982,1.3939,4.5701
Liver Metastasis,65-74 years,2024,5.3961,5.1302,5.6619
Liver Metastasis,65-74 years,2025,5.4721,4.86,6.0843
Liver Metastasis,65-74 years,2026,5.5482,4.5113,6.5851
Liver Metastasis,65-74 years,2027,5.6243,4.0961,7.1524
Liver Metastasis,65-74 years,2028,5.7003,3.6224,7.7783
Liver Metastasis,65-74 years,2029,5.7764,3.0957,8.4571
Liver Metastasis,65-74 years,2030,5.8525,2.5204,9.1846
Liver Metastasis,65-74 years,2031,5.9286,1.8997,9.9575
Liver Metastasis,65-74 years,2032,6.0046,1.2364,10.7728
Liver Metastasis,65-74 years,2033,6.0807,0.5329,11.6285
Liver Metastasis,65-74 years,2034,6.1568,-0.2088,12.5223
Liver Metastasis,65-74 years,2035,6.2328,-0.9871,13.4528
Liver Metastasis,65-74 years,2036,6.3089,-1.8005,14.4183
Liver Metastasis,65-74 years,2037,6.385,-2.6475,15.4175
Liver Metastasis,65-74 years,2038,6.461,-3.5272,16.4493
Liver Metastasis,65-74 years,2039,6.5371,-4.4383,17.5125
Liver Metastasis,65-74 years,2040,6.6132,-5.3798,18.6062
Liver Metastasis,75-84 years,2024,8.2187,7.9293,8.508
Liver Metastasis,75-84 years,2025,8.3576,7.6752,9.0401
Liver Metastasis,75-84 years,2026,8.4968,7.2953,9.6982
Liver Metastasis,75-84 years,2027,8.636,6.8136,10.4583
Liver Metastasis,75-84 years,2028,8.7752,6.2428,11.3075
Liver Metastasis,75-84 years,2029,8.9144,5.5932,12.2356
Liver Metastasis,75-84 years,2030,9.0536,4.8722,13.235
Liver Metastasis,75-84 years,2031,9.1928,4.0856,14.3001
Liver Metastasis,75-84 years,2032,9.3321,3.2379,15.4262
Liver Metastasis,75-84 years,2033,9.4713,2.333,16.6096
Liver Metastasis,75-84 years,2034,9.6105,1.3737,17.8473
Liver Metastasis,75-84 years,2035,9.7497,0.3629,19.1366
Liver Metastasis,75-84 years,2036,9.889,-0.6973,20.4752
Liver Metastasis,75-84 years,2037,10.0282,-1.8048,21.8612
Liver Metastasis,75-84 years,2038,10.1674,-2.9579,23.2927
Liver Metastasis,75-84 years,2039,10.3067,-4.155,24.7683
Liver Metastasis,75-84 years,2040,10.4459,-5.3947,26.2865
Liver Metastasis,85+ years,2024,13.0925,12.7428,13.4421
Liver Metastasis,85+ years,2025,13.4956,12.691,14.3002
Liver Metastasis,85+ years,2026,13.8988,12.5175,15.2801
